match_id,match_date,manager_era,def_line_height,ppda
68317,2005-10-01,Rijkaard,59.52964601769912,1.908450704225352
68318,2005-10-22,Rijkaard,55.79803921568627,1.8976377952755905
69164,2005-10-26,Rijkaard,62.703723404255314,1.5528455284552845
68339,2005-11-06,Rijkaard,56.94642857142857,2.762295081967213
68319,2005-11-19,Rijkaard,55.008026755852846,1.7741935483870968
68354,2005-11-27,Rijkaard,60.61369863013699,0.9523809523809523
68320,2005-12-04,Rijkaard,55.85239520958084,1.5333333333333334
68321,2005-12-11,Rijkaard,61.33968253968254,1.1007462686567164
68322,2005-12-17,Rijkaard,52.43256880733944,2.130081300813008
68323,2005-12-20,Rijkaard,59.49708333333333,2.1341463414634148
68348,2006-01-07,Rijkaard,54.81923076923077,1.4552845528455285
68342,2006-01-15,Rijkaard,56.5476923076923,1.537190082644628
68324,2006-01-22,Rijkaard,62.224124513618676,1.4512820512820512
68325,2006-01-29,Rijkaard,50.832972972972975,3.056179775280899
68350,2006-02-05,Rijkaard,55.31645569620253,1.7426470588235294
69172,2006-02-18,Rijkaard,49.82681818181818,2.048076923076923
68351,2006-02-25,Rijkaard,51.21032863849765,2.377049180327869
68326,2006-08-28,Rijkaard,52.85918367346939,2.504854368932039
68327,2006-09-09,Rijkaard,57.13333333333333,2.1333333333333333
68340,2006-09-17,Rijkaard,51.12795031055901,1.9431818181818181
68328,2006-09-24,Rijkaard,57.101190476190474,2.39
68347,2006-09-30,Rijkaard,54.145054945054945,1.91
68329,2006-10-15,Rijkaard,49.950515463917526,1.9928057553956835
68330,2006-10-22,Rijkaard,53.220000000000006,1.8909090909090909
69174,2006-11-04,Rijkaard,52.361847389558235,1.873134328358209
68331,2006-11-12,Rijkaard,54.975313807531386,1.63013698630137
69154,2007-02-11,Rijkaard,56.04644808743169,1.9532710280373833
68332,2007-02-18,Rijkaard,59.472197309417034,1.792857142857143
68333,2007-02-25,Rijkaard,54.6264423076923,1.8666666666666667
68334,2007-03-03,Rijkaard,49.56428571428572,2.519607843137255
68335,2007-03-10,Rijkaard,57.25901639344263,1.94375
68341,2007-03-17,Rijkaard,52.65705882352942,2.670103092783505
69175,2007-03-31,Rijkaard,51.94639175257732,1.3227848101265822
69179,2007-04-07,Rijkaard,50.715714285714284,1.681081081081081
69159,2007-04-15,Rijkaard,60.01165048543689,1.7943262411347518
69155,2007-04-22,Rijkaard,56.9378277153558,1.6890243902439024
69156,2007-04-29,Rijkaard,54.18260869565217,2.01010101010101
69160,2007-05-05,Rijkaard,52.44681818181818,2.147286821705426
69162,2007-05-13,Rijkaard,56.88564593301436,1.9179104477611941
69176,2007-05-20,Rijkaard,48.66865671641791,2.597938144329897
69157,2007-05-26,Rijkaard,53.85471124620061,1.4240837696335078
69165,2007-06-09,Rijkaard,60.52648401826484,1.4565217391304348
